#       r/R             l_rad/L
       1.0007119       1.0000000
       1.0007041       1.0000000
       1.0006962       1.0000000
       1.0006882       1.0000000
       1.0006801       1.0000000
       1.0006720       1.0000000
       1.0006639       1.0000000
       1.0006557       1.0000000
       1.0006475       1.0000000
       1.0006393       1.0000000
       1.0006310       1.0000000
       1.0006227       1.0000000
       1.0006143       1.0000000
       1.0006060       1.0000000
       1.0005976       1.0000000
       1.0005892       1.0000000
       1.0005807       1.0000000
       1.0005723       1.0000000
       1.0005638       1.0000000
       1.0005553       1.0000000
       1.0005468       1.0000000
       1.0005383       1.0000000
       1.0005297       1.0000000
       1.0005212       1.0000000
       1.0005126       1.0000000
       1.0005040       1.0000000
       1.0004954       1.0000000
       1.0004868       1.0000000
       1.0004781       1.0000000
       1.0004695       1.0000000
       1.0004608       1.0000000
       1.0004521       1.0000000
       1.0004435       1.0000000
       1.0004348       1.0000000
       1.0004261       1.0000000
       1.0004174       1.0000000
       1.0004087       1.0000000
       1.0003999       1.0000000
       1.0003912       1.0000000
       1.0003825       1.0000000
       1.0003737       1.0000000
       1.0003650       1.0000000
       1.0003562       1.0000000
       1.0003475       1.0000000
       1.0003387       1.0000000
       1.0003299       1.0000000
       1.0003211       1.0000000
       1.0003123       1.0000000
       1.0003034       1.0000000
       1.0002945       1.0000000
       1.0002856       1.0000000
       1.0002766       1.0000000
       1.0002677       1.0000000
       1.0002586       1.0000000
       1.0002496       1.0000000
       1.0002404       1.0000000
       1.0002312       1.0000000
       1.0002219       1.0000000
       1.0002126       1.0000000
       1.0002033       1.0000000
       1.0001938       1.0000000
       1.0001844       1.0000000
       1.0001748       1.0000000
       1.0001652       1.0000000
       1.0001556       1.0000000
       1.0001459       1.0000000
       1.0001362       1.0000000
       1.0001264       1.0000000
       1.0001166       1.0000000
       1.0001068       1.0000000
       1.0000970       1.0000000
       1.0000871       1.0000000
       1.0000772       1.0000000
       1.0000673       1.0000000
       1.0000575       1.0000000
       1.0000477       1.0000000
       1.0000379       1.0000000
       1.0000282       1.0000000
       1.0000187       1.0000000
       1.0000093       1.0000000
       1.0000000       1.0000000
      0.99999667       1.0000000
      0.99999336       1.0000000
      0.99999008       1.0000000
      0.99998683       1.0000000
      0.99998361       1.0000000
      0.99998043       1.0000000
      0.99997729       1.0000000
      0.99997419       1.0000000
      0.99997113       1.0000000
      0.99996812       1.0000000
      0.99996516       1.0000000
      0.99996225       1.0000000
      0.99995939       1.0000000
      0.99995658       1.0000000
      0.99995383       1.0000000
      0.99995114       1.0000000
      0.99994851       1.0000000
      0.99994595       1.0000000
      0.99994344       1.0000000
      0.99994101      0.99999982
      0.99993863      0.99999860
      0.99993632      0.99999464
      0.99993408      0.99998493
      0.99993191      0.99996469
      0.99992980      0.99992654
      0.99992776      0.99985960
      0.99992578      0.99974842
      0.99992387      0.99957162
      0.99992202      0.99930059
      0.99992023      0.99889805
      0.99991849      0.99831625
      0.99991680      0.99749629
      0.99991516      0.99636639
      0.99991357      0.99484098
      0.99991201      0.99281604
      0.99991048      0.99016802
      0.99990899      0.98675667
      0.99990751      0.98242308
      0.99990604      0.97699330
      0.99990458      0.97027464
      0.99990312      0.96206173
      0.99990165      0.95214310
      0.99990018      0.94031101
      0.99989868      0.92637462
      0.99989715      0.91017649
      0.99989560      0.89161963
      0.99989402      0.87070492
      0.99989240      0.84751599
      0.99989075      0.82218263
      0.99988906      0.79493903
      0.99988734      0.76610281
      0.99988559      0.73604440
      0.99988381      0.70520686
      0.99988202      0.67401132
      0.99988020      0.64280740
      0.99987836      0.61188992
      0.99987650      0.58149226
      0.99987462      0.55179245
      0.99987272      0.52296198
      0.99987080      0.49510303
      0.99986886      0.46829029
      0.99986688      0.44254586
      0.99986487      0.41786705
      0.99986284      0.39424666
      0.99986076      0.37170109
      0.99985865      0.35021157
      0.99985649      0.32976909
      0.99985429      0.31035048
      0.99985205      0.29191406
      0.99984975      0.27442360
      0.99984740      0.25785829
      0.99984500      0.24217381
      0.99984254      0.22732933
      0.99984003      0.21330753
      0.99983745      0.20006821
      0.99983481      0.18758015
      0.99983210      0.17581665
      0.99982933      0.16474136
      0.99982649      0.15431962
      0.99982358      0.14451795
      0.99982060      0.13530425
      0.99981755      0.12665618
      0.99981442      0.11854429
      0.99981121      0.11093640
      0.99980793      0.10380206
      0.99980457     0.097110544
      0.99980113     0.090837216
      0.99979761     0.084966142
      0.99979400     0.079475388
      0.99979032     0.074342695
      0.99978655     0.069546399
      0.99978269     0.065065781
      0.99977876     0.060882707
      0.99977473     0.056978985
      0.99977063     0.053336951
      0.99976643     0.049940619
      0.99976215     0.046770952
      0.99975779     0.043808037
      0.99975334     0.041043153
      0.99974880     0.038463462
      0.99974418     0.036053347
      0.99973947     0.033803737
      0.99973467     0.031704586
      0.99972979     0.029746023
      0.99972482     0.027918660
      0.99971977     0.026213608
      0.99971463     0.024622502
      0.99970940     0.023137512
      0.99970410     0.021751309
      0.99969871     0.020457027
      0.99969323     0.019248547
      0.99968768     0.018120560
      0.99968204     0.017065857
      0.99967632     0.016077863
      0.99967052     0.015154977
      0.99966464     0.014291238
      0.99965868     0.013482850
      0.99965264     0.012726232
      0.99964652     0.012017941
      0.99964033     0.011354726
      0.99963405     0.010733477
      0.99962771     0.010151209
      0.99962129    0.0096053358
      0.99961479    0.0090934458
      0.99960822    0.0086132866
      0.99960158    0.0081627514
      0.99959487    0.0077395566
      0.99958809    0.0073414565
      0.99958123    0.0069668455
      0.99957431    0.0066142369
      0.99956732    0.0062822416
      0.99956026    0.0059695651
      0.99955313    0.0056749900
      0.99954593    0.0053972887
      0.99953867    0.0051354896
      0.99953134    0.0048883025
      0.99952394    0.0046539600
      0.99951648    0.0044323184
      0.99950896    0.0042231771
      0.99950137    0.0040255231
      0.99949372    0.0038383195
      0.99948600    0.0036611181
      0.99947823    0.0034934033
      0.99947039    0.0033346567
      0.99946249    0.0031843767
      0.99945453    0.0030420773
      0.99944651    0.0029072524
      0.99943843    0.0027794764
      0.99943029    0.0026582032
      0.99942210    0.0025430208
      0.99941384    0.0024335988
      0.99940553    0.0023296263
      0.99939716    0.0022307918
      0.99938874    0.0021367875
      0.99938025    0.0020473708
      0.99937171    0.0019623181
      0.99936312    0.0018814260
      0.99935446    0.0018045161
      0.99934576    0.0017314459
      0.99933699    0.0016620093
      0.99932817    0.0015956104
      0.99931930    0.0015321461
      0.99931037    0.0014715613
      0.99930139    0.0014137789
      0.99929235    0.0013587131
      0.99928326    0.0013062759
      0.99927412    0.0012562387
      0.99926492    0.0012083928
      0.99925568    0.0011625854
      0.99924638    0.0011187282
      0.99923702    0.0010767369
      0.99922762    0.0010365299
      0.99921816   0.00099802805
